UserID,Product,n
1,AIR CARE,17
1,ANALGESICS,3
1,APPLES,13
1,BACON,4
1,BAG SNACKS,70
1,BAKED BREAD/BUNS/ROLLS,127
1,BAKED SWEET GOODS,4
1,BAKING MIXES,9
1,BAKING NEEDS,10
1,BATH TISSUES,15
1,BEANS - CANNED GLASS & MW,25
1,BEEF,2
1,BLEACH,5
1,BREAKFAST SWEETS,10
1,BUTTER,6
1,CAKES,7
1,CANDLES/ACCESSORIES,2
1,CANDY - CHECKLANE,3
1,CANDY - PACKAGED,90
1,CANNED JUICES,16
1,CARROTS,8
1,CHEESE,57
1,CHEESES,28
1,CHRISTMAS  SEASONAL,2
1,CIGARETTES,3
1,CITRUS,19
1,COCOA MIXES,2
1,COFFEE,4
1,COFFEE FILTERS,1
1,COFFEE SHOP,3
1,COLD CEREAL,15
1,CONDIMENTS/SAUCES,13
1,CONVENIENT BRKFST/WHLSM SNACKS,1
1,COOKIES,5
1,COOKIES/CONES,52
1,COUPON/MISC ITEMS,2
1,CRACKERS/MISC BKD FD,35
1,DELI MEATS,30
1,DELI SPECIALTIES (RETAIL PK),3
1,DEODORANTS,10
1,DIETARY AID PRODUCTS,1
1,DINNER MXS:DRY,4
1,DISHWASH DETERGENTS,10
1,DRY BN/VEG/POTATO/RICE,3
1,DRY MIX DESSERTS,37
1,DRY NOODLES/PASTA,14
1,DRY SAUCES/GRAVY,1
1,EGGS,19
1,ELECTRICAL SUPPPLIES,3
1,FACIAL TISS/DNR NAPKIN,14
1,FD WRAPS/BAGS/TRSH BG,11
1,FEMININE HYGIENE,1
1,FIRST AID PRODUCTS,2
1,FLORAL-FLOWERING PLANTS,1
1,FLOUR & MEALS,1
1,FLUID MILK PRODUCTS,40
1,FROZEN BREAD/DOUGH,1
1,FROZEN PIE/DESSERTS,32
1,FRUIT - SHELF STABLE,41
1,FRZN BREAKFAST FOODS,5
1,FRZN MEAT/MEAT DINNERS,1
1,FRZN NOVELTIES/WTR ICE,37
1,FRZN POTATOES,2
1,FRZN VEGETABLE/VEG DSH,15
1,GRAPES,4
1,HAIR CARE PRODUCTS,9
1,HEAT/SERVE,43
1,HERBS,1
1,HISPANIC,1
1,HOSIERY/SOCKS,1
1,HOT DOGS,6
1,HOUSEHOLD CLEANG NEEDS,9
1,ICE CREAM/MILK/SHERBTS,13
1,IN-STORE PHOTOFINISHING,2
1,IRONING AND CHEMICALS,1
1,KITCHEN GADGETS,1
1,LAUNDRY ADDITIVES,2
1,LAUNDRY DETERGENTS,3
1,LUNCHMEAT,42
1,MARGARINES,21
1,MEAT - SHELF STABLE,5
1,MILK BY-PRODUCTS,13
1,MISCELLANEOUS,13
1,MOLASSES/SYRUP/PANCAKE MIXS,3
1,ONIONS,15
1,ORAL HYGIENE PRODUCTS,13
1,PAPER HOUSEWARES,22
1,PASTA SAUCE,5
1,PEARS,3
1,PEPPERS-ALL,1
1,PIES,6
1,PNT BTR/JELLY/JAMS,21
1,POPCORN,1
1,PORK,1
1,POTATOES,12
1,PREPARED FOOD,1
1,REFRGRATD DOUGH PRODUCTS,4
1,REFRGRATD JUICES/DRNKS,45
1,RESTRICTED DIET,4
1,RICE CAKES,18
1,ROLLS,6
1,SALAD BAR,9
1,SALAD MIX,18
1,SALADS/DIPS,3
1,SALD DRSNG/SNDWCH SPRD,18
1,SEAFOOD - SHELF STABLE,5
1,SHORTENING/OIL,3
1,SMOKED MEATS,1
1,SNACK NUTS,12
1,SNACKS,3
1,SNKS/CKYS/CRKR/CNDY,1
1,SOAP - LIQUID & BAR,16
1,SOFT DRINKS,32
1,SOUP,39
1,SPICES & EXTRACTS,13
1,STATIONERY & SCHOOL SUPPLIES,3
1,SUGARS/SWEETNERS,9
1,SWEET GOODS & SNACKS,1
1,TEAS,2
1,TOMATOES,7
1,TOYS AND GAMES,1
1,TROPICAL FRUIT,41
1,VEGETABLES - ALL OTHERS,11
1,VEGETABLES - SHELF STABLE,51
1,VEGETABLES SALAD,2
1,VITAMINS,3
1,WAREHOUSE SNACKS,12
7,AIR CARE,1
7,ANTACIDS,1
7,APPLES,10
7,BABY FOODS,79
7,BABY HBC,7
7,BAG SNACKS,26
7,BAKED BREAD/BUNS/ROLLS,33
7,BAKED SWEET GOODS,6
7,BAKING MIXES,14
7,BAKING NEEDS,15
7,BATH,1
7,BATH TISSUES,3
7,BATTERIES,3
7,BEANS - CANNED GLASS & MW,1
7,BEEF,5
7,BEERS/ALES,1
7,BERRIES,8
7,BLEACH,3
7,BREAD,1
7,BREAKFAST SAUSAGE/SANDWICHES,1
7,CAKES,2
7,CANDLES/ACCESSORIES,2
7,CANDY - CHECKLANE,2
7,CANDY - PACKAGED,22
7,CANNED JUICES,9
7,CARROTS,8
7,CAT FOOD,9
7,CAT LITTER,1
7,CHEESE,38
7,CHEESES,4
7,CHICKEN,8
7,CHICKEN/POULTRY,14
